시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,단원구,시도,고잔로,고잔로,03,경기도 안산시 단원구 고잔로 122 (고잔동),경기도 안산시 단원구 고잔동 539-6,37.3185909820,126.8399259054,03,02,Y,102,01,04,04,녹색+황색+녹색/녹색화살표+황색+적색/녹색화살표+적색/황색,33+3+8+3+2+8+15,02,99,01,Y,00:00,06:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,번영2로,번영2로,03,경기도 안산시 단원구 번영2로 137,경기도 안산시 단원구 성곡동 692,37.3186321161,126.7477000787,03,02,Y,306,01,03,03,녹색+황색+녹색+황색+적색+보행녹색+보행점멸,97+3+33+3+3+10+11,02,99,01,Y,00:00,06:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,산단로,산단로,03,경기도 안산시 단원구 산단로 270,경기도 안산시 단원구 원시동 816-2,37.3186383316,126.7895912966,03,02,Y,267,01,04,04,녹색+황색+적색+적색/녹색화살표+적색/황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색,120+4+2+32+4+37+4+33,02,99,01,N,24:00,24:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,고잔로,고잔로,03,경기도 안산시 단원구 예술대학로 20 (고잔동),경기도 안산시 단원구 고잔동 539,37.3187603296,126.8372495177,03,02,Y,101,01,04,04,녹색/녹색화살표+황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색+적색+보행녹색+보행점멸,22+3+22+3+24+3+28+3+,02,99,01,N,24:00,24:00,N,Y,Y,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,일반국도,77번,정왕천동로,03,경기도 안산시 단원구 별망로 7,경기도 안산시 단원구 성곡동 721,37.3189303471,126.7293459391,03,02,Y,374,01,04,04,녹색+황색+적색/녹색화살표+적색/황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색,63+4+20+3+20+3+34+3,02,99,01,N,24:00,24:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,적금로,적금로,03,경기도 안산시 단원구 적금로 120 (고잔동),경기도 안산시 단원구 고잔동 519-1,37.3189395407,126.8264050990,03,02,Y,98,01,04,04,적색/녹색화살표+적색/황색+녹색+황색+적색/녹색화살표+적색/황색+적색+보행녹색+보행점멸,2+27+3+88+3+25+3+26+,02,99,01,N,24:00,24:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,원시로,원시로,03,,경기도 안산시 단원구 원시동 818-5,37.3191202165,126.7849869854,03,01,Y,485,01,03,03,녹색+황색+적색+보행녹색+보행점멸,94+3+2+10+11,02,99,01,N,24:00,24:00,N,N,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,화랑로,화랑로,03,,경기도 안산시 단원구 고잔동 554,37.319153,126.8306216,03,02,Y,28,01,04,04,녹색+황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색,75+3+28+3+28+3,02,99,01,N,24:00,24:00,N,Y,Y,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,번영2로,번영2로,03,경기도 안산시 단원구 번영2로 131,경기도 안산시 단원구 성곡동 435-2,37.3192336736,126.7475446356,03,01,Y,519,01,03,03,녹색+황색+적색+보행녹색+보행점멸,132+3+3+10+12,02,99,01,N,24:00,24:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,일반국도,39번,중앙대로,03,,경기도 안산시 단원구 초지동 663-9,37.3194305,126.8090632,03,02,Y,150,01,04,04,녹색/녹색화살표+황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색,65+5+56+4+46+5+34+5,02,99,01,N,24:00,24:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,고잔로,고잔로,03,경기도 안산시 단원구 고잔로 59 (고잔동),경기도 안산시 단원구 고잔동 528-3,37.3194609733,126.8331098269,03,02,Y,100,01,04,04,녹색/녹색화살표+황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색+녹색/녹색화살표+황색+적색+보행녹색+보행점멸,2+21+3+24+3+2+23+3+2,02,99,01,N,24:00,24:00,N,Y,Y,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,상록구,시도,충장로,충장로,03,"경기도 안산시 상록구 충장로 456 (성포동, 동산빌라)",경기도 안산시 상록구 성포동 585-2,37.3194622341,126.8502131003,03,02,Y,284,01,04,04,녹색+황색+녹색/녹색화살표+황색+적색/녹색화살표+적색/황색,37+3+29+3+15+3,02,99,01,N,24:00,24:00,N,Y,N,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
경기도,단원구,시도,화랑로,화랑로,03,경기도 안산시 단원구 화랑로 260 (초지동),경기도 안산시 단원구 초지동 666,37.3194760178,126.8164938939,03,02,Y,478,01,04,04,녹색+황색+녹색/녹색화살표+황색+적색/녹색화살표+적색/황색,69+3+20+3+2+49+4,02,99,01,N,24:00,24:00,N,Y,Y,,경기남부지방경찰청,031-481-2977,2020-05-31,3930000,경기도 안산시
