"","요일","사고내용","법규위반","노면상태","기상상태","도로형태","가해운전자_차종","가해운전자_성별","가해운전자_연령","행정동","발생월","발생시간"
"1","금요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",42,"대황교동",1,4
"2","금요일",1,"신호위반","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",57,"인계동",1,4
"3","금요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","화물","남",26,"우만동",1,5
"4","금요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",23,"인계동",1,6
"5","금요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",31,"우만동",1,11
"6","금요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","승용","남",36,"영통동",1,12
"7","금요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승합","남",48,"세류동",1,15
"8","금요일",1,"안전거리미확보","포장 - 건조","흐림","교차로 - 교차로안","승용","여",28,"파장동",1,18
"9","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",54,"우만동",1,1
"10","토요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","화물","남",47,"인계동",1,9
"11","토요일",0,"중앙선침범","포장 - 건조","흐림","단일로 - 기타","승용","남",49,"권선동",1,16
"12","토요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","이륜","남",49,"송죽동",1,18
"13","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","여",32,"권선동",1,18
"14","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",27,"영화동",1,19
"15","토요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","승용","남",47,"정자동",1,19
"16","토요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","여",29,"곡반정동",1,19
"17","토요일",0,"교차로운행방법위반","포장 - 건조","흐림","교차로 - 교차로부근","승용","남",50,"권선동",1,22
"18","토요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","승용","남",33,"이의동",1,23
"19","일요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","이륜","남",55,"화서동",1,3
"20","일요일",1,"안전운전불이행","포장 - 습기","안개","단일로 - 횡단보도상","승용","남",22,"고색동",1,5
"21","일요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","승용","여",48,"영화동",1,11
"22","일요일",0,"기타","포장 - 건조","맑음","단일로 - 기타","승용","남",50,"화서동",1,13
"23","일요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","승용","여",41,"서둔동",1,13
"24","일요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",60,"입북동",1,15
"25","일요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","여",36,"이의동",1,17
"26","일요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 횡단보도상","승용","남",23,"원천동",1,18
"27","일요일",1,"보행자보호의무위반","포장 - 건조","맑음","교차로 - 교차로부근","승용","여",42,"이의동",1,19
"28","일요일",0,"안전거리미확보","포장 - 건조","흐림","단일로 - 기타","승용","남",46,"우만동",1,20
"29","일요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","승용","남",64,"권선동",1,20
"30","일요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",27,"권선동",1,23
"31","월요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",43,"영화동",1,1
"32","월요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","원동기","남",58,"권선동",1,5
"33","월요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","승용","여",55,"조원동",1,7
"34","월요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",72,"영화동",1,8
"35","월요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승합","남",46,"연무동",1,8
"36","월요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","자전거","남",12,"우만동",1,9
"37","월요일",0,"기타","포장 - 건조","맑음","단일로 - 기타","승용","남",41,"곡반정동",1,9
"38","월요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","건설기계","남",47,"매탄동",1,10
"41","월요일",0,"안전거리미확보","포장 - 건조","맑음","교차로 - 교차로안","승용","남",53,"이목동",1,16
"42","월요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","승용","여",51,"송죽동",1,18
"43","월요일",1,"신호위반","포장 - 건조","맑음","교차로 - 교차로부근","이륜","남",54,"인계동",1,18
"44","월요일",0,"안전거리미확보","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",56,"망포동",1,20
"45","월요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","화물","남",69,"고색동",1,21
"46","화요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","화물","남",41,"평동",1,0
"47","화요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","이륜","남",24,"영통동",1,1
"48","화요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",58,"인계동",1,7
"49","화요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","화물","남",53,"연무동",1,9
"50","화요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","승용","남",63,"연무동",1,13
"51","화요일",0,"안전거리미확보","포장 - 건조","맑음","교차로 - 교차로안","화물","남",19,"매탄동",1,13
"52","화요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",74,"매교동",1,15
"53","화요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승합","남",71,"탑동",1,15
"54","화요일",1,"기타","포장 - 건조","맑음","단일로 - 기타","건설기계","남",59,"송죽동",1,18
"55","화요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",50,"파장동",1,19
"56","화요일",1,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",47,"원천동",1,21
"57","수요일",0,"보행자보호의무위반","포장 - 건조","맑음","교차로 - 교차로안","승용","남",45,"탑동",1,1
"58","수요일",1,"차로위반","포장 - 건조","맑음","단일로 - 기타","승합","남",46,"화서동",1,5
"59","수요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",77,"신동",1,5
"60","수요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","건설기계","남",35,"매탄동",1,9
"61","수요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","여",29,"평동",1,9
"62","수요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",82,"우만동",1,12
"63","수요일",0,"신호위반","포장 - 건조","맑음","단일로 - 횡단보도부근","승용","여",52,"매산로1가",1,14
"64","수요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로부근","이륜","남",32,"신동",1,19
"65","수요일",0,"교차로운행방법위반","포장 - 건조","맑음","교차로 - 교차로안","승용","여",51,"율전동",1,21
"66","수요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","승합","남",62,"우만동",1,22
"67","목요일",1,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","화물","남",22,"금곡동",1,0
"68","목요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","승용","남",54,"고색동",1,2
"69","목요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","승용","남",61,"우만동",1,5
"70","목요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","승용","여",30,"이의동",1,7
"71","목요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","화물","남",56,"연무동",1,8
"72","목요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승합","남",48,"매산로1가",1,8
"73","목요일",0,"교차로운행방법위반","포장 - 건조","맑음","교차로 - 교차로안","승용","남",39,"세류동",1,8
"74","목요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","승용","여",24,"하동",1,10
"75","목요일",1,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","승합","여",50,"인계동",1,11
"76","목요일",0,"교차로운행방법위반","포장 - 건조","맑음","교차로 - 교차로안","자전거","남",18,"율전동",1,12
"77","목요일",1,"기타","포장 - 건조","맑음","단일로 - 기타","승합","남",44,"연무동",1,15
"78","목요일",0,"기타","포장 - 건조","맑음","단일로 - 기타","승용","남",46,"권선동",1,15
"79","목요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","여",54,"천천동",1,16
"80","목요일",0,"안전거리미확보","포장 - 건조","맑음","단일로 - 기타","이륜","남",58,"천천동",1,16
"81","목요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","승용","여",64,"북수동",1,16
"82","목요일",1,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","이륜","남",17,"정자동",1,19
"83","목요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",35,"망포동",1,20
"84","목요일",1,"신호위반","포장 - 건조","맑음","단일로 - 횡단보도상","승용","남",50,"영화동",1,21
"85","목요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","승용","남",61,"권선동",1,21
"86","목요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",52,"송죽동",1,23
"87","금요일",0,"보행자보호의무위반","포장 - 건조","맑음","단일로 - 횡단보도상","승합","남",55,"권선동",1,6
"88","금요일",1,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","화물","남",63,"권선동",1,7
"89","금요일",1,"차로위반","포장 - 건조","맑음","단일로 - 기타","화물","남",52,"곡반정동",1,7
"90","금요일",0,"교차로운행방법위반","포장 - 건조","맑음","교차로 - 교차로안","승용","여",32,"화서동",1,10
"91","금요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로안","화물","남",30,"천천동",1,12
"92","금요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","이륜","남",23,"영통동",1,14
"93","금요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","승용","여",49,"매산로1가",1,14
"94","금요일",0,"신호위반","포장 - 건조","맑음","단일로 - 기타","승용","여",48,"이의동",1,16
"95","금요일",1,"보행자보호의무위반","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",40,"망포동",1,19
"96","금요일",0,"신호위반","포장 - 건조","맑음","교차로 - 교차로안","이륜","남",30,"세류동",1,20
"97","금요일",1,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",33,"인계동",1,22
"98","금요일",0,"교차로운행방법위반","포장 - 건조","맑음","교차로 - 교차로안","승용","남",26,"세류동",1,23
"99","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",23,"천천동",1,0
"100","토요일",0,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","승용","남",54,"인계동",1,0
"101","토요일",0,"중앙선침범","포장 - 건조","맑음","미분류 - 미분류","승용","남",43,"망포동",1,1
"102","토요일",0,"교차로운행방법위반","포장 - 건조","맑음","교차로 - 교차로안","승합","남",31,"인계동",1,1
"103","토요일",1,"안전운전불이행","포장 - 건조","맑음","교차로 - 교차로부근","화물","남",54,"매산로1가",1,6
"104","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",25,"천천동",1,8
"105","토요일",0,"기타","포장 - 건조","맑음","단일로 - 기타","승용","여",51,"팔달로3가",1,11
"106","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",47,"화서동",1,16
"107","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",36,"송죽동",1,21
"108","토요일",0,"중앙선침범","포장 - 건조","맑음","단일로 - 기타","승용","여",21,"세류동",1,21
"109","토요일",1,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",31,"권선동",1,21
"110","토요일",0,"안전운전불이행","포장 - 건조","맑음","단일로 - 기타","승용","남",39,"세류동",1,22
