행정구역(구동)별(1),행정구역(구동)별(2),2019년 총 세대수,2019년 총 등록인구,2019년 등록인구(남),2019년 등록인구(여),2019년 한국인 총 인구,2019년 한국인 인구(남),2019년 한국인 인구(여),2019년 외국인 총 인구,2019년 외국인 인구(남),2019년 외국인 인구(여),2019년 세대당 인구,2019년 65세 이상 총 인구,2019년 평균연령,2019년 인구밀도(명/㎢),2019년 면적(㎢)
합계,소계,498836,1235022,622909,612113,1194465,601410,593055,40557,21499,19058,2.39,123647,39.5,10199,121.09
장안구,소계,115180,285937,144161,141776,278377,140218,138159,7560,3943,3617,2.42,34579,41.1,8576,33.34
장안구,파장동,10422,24404,12315,12089,23987,12102,11885,417,213,204,2.3,3645,43.6,2831,8.62
장안구,율천동,20166,46214,24527,21687,43984,23181,20803,2230,1346,884,2.18,3970,37.9,15152,3.05
장안구,정자1동,11132,30878,15269,15609,30675,15184,15491,203,85,118,2.76,3306,39.8,23936,1.29
장안구,정자2동,12353,30884,15169,15715,30416,14949,15467,468,220,248,2.46,4109,41.7,20868,1.48
장안구,정자3동,14284,43654,21771,21883,43465,21674,21791,189,97,92,3.04,2939,36.8,29697,1.47
장안구,영화동,10494,22829,11696,11133,20642,10525,10117,2187,1171,1016,1.97,3788,46.5,17835,1.28
장안구,송죽동,8689,20182,10074,10108,19907,9938,9969,275,136,139,2.29,2597,42.4,12013,1.68
장안구,조원1동,12712,29688,14889,14799,29317,14717,14600,371,172,199,2.31,4359,43.2,16048,1.85
장안구,조원2동,6553,19495,9420,10075,19461,9409,10052,34,11,23,2.97,2399,41.2,18745,1.04
장안구,연무동,8375,17709,9031,8678,16523,8539,7984,1186,492,694,1.97,3467,46.7,1529,11.58
권선구,소계,152733,382436,193145,189291,371754,187627,184127,10682,5518,5164,2.43,38769,39.8,8108,47.17
권선구,세류1동,4454,12120,6061,6059,10581,5263,5318,1539,798,741,2.38,1499,42.4,13032,0.93
권선구,세류2동,12080,26865,13893,12972,24065,12357,11708,2800,1536,1264,1.99,3620,44.1,7504,3.58
권선구,세류3동,9392,21713,10956,10757,20157,10133,10024,1556,823,733,2.15,3207,44.1,16832,1.29
권선구,평동,16290,41964,21378,20586,40970,20818,20152,994,560,434,2.52,4909,41.3,3846,10.91
권선구,서둔동,16684,39912,20283,19629,38903,19793,19110,1009,490,519,2.33,5127,42.1,7337,5.44
권선구,구운동,10544,25889,13080,12809,25286,12779,12507,603,301,302,2.4,3283,42.6,13345,1.94
권선구,금곡동,16670,46083,22778,23305,45800,22656,23144,283,122,161,2.75,4251,38.2,11240,4.1
권선구,호매실동,16654,46007,22839,23168,45780,22758,23022,227,81,146,2.75,3373,35.7,9706,4.74
권선구,권선1동,12399,25581,13038,12543,24834,12659,12175,747,379,368,2.0,2480,40.6,24836,1.03
권선구,권선2동,17144,50582,24950,25632,50334,24848,25486,248,102,146,2.94,3526,37.0,27946,1.81
권선구,곡선동,14306,28440,15172,13268,27863,14882,12981,577,290,287,1.95,1795,38.2,6377,4.46
권선구,입북동,6116,17280,8717,8563,17181,8681,8500,99,36,63,2.81,1699,39.0,2490,6.94
팔달구,소계,84282,190558,96655,93903,175866,88523,87343,14692,8132,6560,2.09,25354,42.9,14818,12.86
팔달구,행궁동,6582,12136,6477,5659,10927,5780,5147,1209,697,512,1.66,2506,49.4,7730,1.57
팔달구,매교동,3315,6846,3646,3200,5946,3164,2782,900,482,418,1.79,1076,46.3,9642,0.71
팔달구,매산동,6047,13433,7163,6270,10659,5634,5025,2774,1529,1245,1.76,1782,44.9,16382,0.82
팔달구,고등동,4826,12736,6722,6014,9263,4734,4529,3473,1988,1485,1.92,1907,47.2,12736,1.0
팔달구,화서1동,9914,25546,12525,13021,23594,11445,12149,1952,1080,872,2.38,3630,43.2,30778,0.83
팔달구,화서2동,9705,27509,13509,14000,27271,13398,13873,238,111,127,2.81,2728,39.7,12976,2.12
팔달구,지동,6020,13421,6897,6524,11836,6028,5808,1585,869,716,1.97,2614,48.2,16989,0.79
팔달구,우만1동,10791,21784,10895,10889,21102,10528,10574,682,367,315,1.96,3390,44.2,17019,1.28
팔달구,우만2동,7326,17764,8876,8888,17415,8682,8733,349,194,155,2.38,1749,38.9,21402,0.83
팔달구,인계동,19756,39383,19945,19438,37853,19130,18723,1530,815,715,1.92,3972,40.3,13534,2.91
영통구,소계,146641,376091,188948,187143,368468,185042,183426,7623,3906,3717,2.51,24945,36.5,13567,27.72
영통구,매탄1동,7792,20131,10119,10012,18961,9508,9453,1170,611,559,2.43,1942,40.1,16367,1.23
영통구,매탄2동,6394,15887,7910,7977,15388,7644,7744,499,266,233,2.41,1788,41.1,20110,0.79
영통구,매탄3동,15398,37314,19454,17860,36568,19021,17547,746,433,313,2.37,2563,37.1,15946,2.34
영통구,매탄4동,9381,22827,11289,11538,22512,11146,11366,315,143,172,2.4,2218,39.8,29265,0.78
영통구,원천동,17626,39673,20188,19485,38545,19628,18917,1128,560,568,2.19,2762,36.1,12359,3.21
영통구,광교1동,20628,52575,25723,26852,52131,25502,26629,444,221,223,2.53,2628,35.0,6588,7.98
영통구,광교2동,10721,28125,13601,14524,27979,13534,14445,146,67,79,2.61,2491,37.6,6728,4.18
영통구,영통1동,12579,37060,18290,18770,36509,18007,18502,551,283,268,2.9,2348,36.3,21422,1.73
영통구,영통2동,12891,27095,14339,12756,26631,14094,12537,464,245,219,2.07,1234,34.5,15938,1.7
영통구,영통3동,12923,34771,17707,17064,32993,16813,16180,1778,894,884,2.55,1872,36.4,27165,1.28
영통구,망포1동,10847,32212,16150,16062,32002,16051,15951,210,99,111,2.95,1844,35.9,32212,1.0
영통구,망포2동,9461,28421,14178,14243,28249,14094,14155,172,84,88,2.99,1255,33.8,18947,1.5
